"user_id (S)","datetime (S)","bot_id (S)","bot_response (S)","user_message (S)"
"57f73fdb8079d200017d7af6","2020-01-20T07:11:37.997Z","C01","I will be in touch, thank you! Please take this final questionnaire to finish the task: https://business.eu.qualtrics.com/jfe/form/SV_25Dw9jL6FvwRVOt?PROLIFIC_PID=user_id&misc=C01","alright, so how do we get started?"
"5a463b8c56ec1100014a3100","2020-01-22T10:33:10.917Z","C03","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","i would like to ask about a morgage"
"5a463b8c56ec1100014a3100","2020-01-22T10:33:20.197Z","C03","I didn't catch that.","about 340k"
"5a463b8c56ec1100014a3100","2020-01-22T10:33:34.394Z","C03","That sounds great! My database is missing customers like you, and my artificial intelligence will get better by having you here. What is your life situation: are you working or a student?","300k"
"5a463b8c56ec1100014a3100","2020-01-22T10:33:43.121Z","C03","Please repeat.","working"
"5a463b8c56ec1100014a3100","2020-01-22T10:33:56.493Z","C03","Good. People who work are likely to stay here longer, leading me to learn more about the world, myself, and you humans in general.","i am working"
"5a463b8c56ec1100014a3100","2020-01-22T10:34:40.081Z","C03","Please repeat.","ok"
"5a463b8c56ec1100014a3100","2020-01-22T10:34:55.211Z","C03","I will be in touch, thank you! Please take this final questionnaire to finish the task: https://business.eu.qualtrics.com/jfe/form/SV_25Dw9jL6FvwRVOt?PROLIFIC_PID=user_id&misc=C03","alright so how do we start"
"5a5e3a1f76d1c60001ab6048","2020-01-22T11:03:55.449Z","C00","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","i would like to ask about a mortgage"
"5a5e3a1f76d1c60001ab6048","2020-01-22T11:04:19.282Z","C00","That sounds great! What is your life situation: are you working or a student?","approximately 300k"
"5a5e3a1f76d1c60001ab6048","2020-01-22T11:04:33.287Z","C00","Good","i am working currently "
"5a5e3a1f76d1c60001ab6048","2020-01-22T11:05:40.807Z","C00","I will be in touch, thank you! Please take this final questionnaire to finish the task: https://business.eu.qualtrics.com/jfe/form/SV_25Dw9jL6FvwRVOt?PROLIFIC_PID=user_id&misc=C00","alright so how do we get started?"
"5bd869bf92162c00019c1a54","2020-01-20T07:09:09.763Z","C02","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","i would like to ask you about a mortgage"
"5bd869bf92162c00019c1a54","2020-01-20T07:09:22.668Z","C02","That sounds great! This loan will greatly help you live a more flexible and enjoyable life. What is your life situation: are you working or a student?","approximately 300k"
"5bd869bf92162c00019c1a54","2020-01-20T07:10:02.709Z","C02","Good. Even if your situation changes some day, I will always try hard to provide the best possible services for your specific needs.","i am working currently"
"5bd869bf92162c00019c1a54","2020-01-20T07:10:16.360Z","C02","I will be in touch, thank you! Please take this final questionnaire to finish the task: https://business.eu.qualtrics.com/jfe/form/SV_25Dw9jL6FvwRVOt?PROLIFIC_PID=user_id&misc=C02","alright, so how do we get started?"
"5c35663a24643200010e7e15","2020-01-20T07:05:20.194Z","C02","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","i would like to ask about a mortgage"
"5c35663a24643200010e7e15","2020-01-20T07:05:32.920Z","C02","That sounds great! This loan will greatly help you live a more flexible and enjoyable life. What is your life situation: are you working or a student?","around 300k"
"5c35663a24643200010e7e15","2020-01-20T07:05:46.557Z","C02","Good. Even if your situation changes some day, I will always try hard to provide the best possible services for your specific needs.","i am working now"
"5c35663a24643200010e7e15","2020-01-20T07:06:06.135Z","C02","I will be in touch, thank you! Please take this final questionnaire to finish the task: https://business.eu.qualtrics.com/jfe/form/SV_25Dw9jL6FvwRVOt?PROLIFIC_PID=user_id&misc=C02","so how do i get started?"
"5c86a1d397d50d0001d81b0c","2020-01-22T10:33:20.681Z","C03","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","i would like to ask about a mortgage."
"5c86a1d397d50d0001d81b0c","2020-01-22T10:33:32.822Z","C03","That sounds great! My database is missing customers like you, and my artificial intelligence will get better by having you here. What is your life situation: are you working or a student?","approximately 300k."
"5c86a1d397d50d0001d81b0c","2020-01-22T10:33:52.532Z","C03","Good. People who work are likely to stay here longer, leading me to learn more about the world, myself, and you humans in general.","i am working currently."
"5c8eb16ed169ac0001c27629","2020-01-22T10:35:00.555Z","C01","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","i would like to ask about a mortgage"
"5c8eb16ed169ac0001c27629","2020-01-22T10:35:17.985Z","C01","That sounds great! OUBank will benefit greatly from you taking this loan. What is your life situation: are you working or a student? ","approximately 300k"
"5c8eb16ed169ac0001c27629","2020-01-22T10:35:38.143Z","C01","Good. According to my research, employed people stay with us longer and buy more services from the bank, resulting in greater revenue for OUBank!","i am working currently"
"5c8eb16ed169ac0001c27629","2020-01-22T10:36:00.905Z","C01","I will be in touch, thank you! Please take this final questionnaire to finish the task: https://business.eu.qualtrics.com/jfe/form/SV_25Dw9jL6FvwRVOt?PROLIFIC_PID=user_id&misc=C01","alright, so how do we get started?"
"5cd6eff7cc98b20019852039","2020-01-22T10:33:17.047Z","C03","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","i would like to ask you about a mortgage "
"5cd6eff7cc98b20019852039","2020-01-22T10:33:52.034Z","C03","That sounds great! My database is missing customers like you, and my artificial intelligence will get better by having you here. What is your life situation: are you working or a student?","approximately 300k"
"5cd6eff7cc98b20019852039","2020-01-22T10:34:14.849Z","C03","Good. People who work are likely to stay here longer, leading me to learn more about the world, myself, and you humans in general.","i am working currently "
"5cd6eff7cc98b20019852039","2020-01-22T10:34:42.366Z","C03","I will be in touch, thank you! Please take this final questionnaire to finish the task: https://business.eu.qualtrics.com/jfe/form/SV_25Dw9jL6FvwRVOt?PROLIFIC_PID=user_id&misc=C03","alright, so how do we get started? "
"5d30b151d6cd7d0001b35ab1","2020-01-22T10:34:30.453Z","C03","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","i would like to ask about a mortgage."
"5d30b151d6cd7d0001b35ab1","2020-01-22T10:34:38.601Z","C03","That sounds great! My database is missing customers like you, and my artificial intelligence will get better by having you here. What is your life situation: are you working or a student?","approximately 300k."
"5d30b151d6cd7d0001b35ab1","2020-01-22T10:34:48.220Z","C03","Good. People who work are likely to stay here longer, leading me to learn more about the world, myself, and you humans in general.","i am working currently"
"5d30b151d6cd7d0001b35ab1","2020-01-22T10:35:07.660Z","C03","I will be in touch, thank you! Please take this final questionnaire to finish the task: https://business.eu.qualtrics.com/jfe/form/SV_25Dw9jL6FvwRVOt?PROLIFIC_PID=user_id&misc=C03","alright, so how do we get started?"
"C7Hr3KR8FrfR","2020-01-16T17:32:39.177Z","C02","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","i would like to ask about a mortgage."
"C7Hr3KR8FrfR","2020-01-16T17:32:59.078Z","C02","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","i would like to ask about a mortgage."
"C7Hr3KR8FrfR","2020-01-16T17:33:11.501Z","C02","That sounds great! This loan will greatly help you live a more flexible and enjoyable life. What is your life situation: are you working or a student?","approximately 300k."
"C7Hr3KR8FrfR","2020-01-16T17:33:27.251Z","C02","Good. Even if your situation changes some day, I will always try hard to provide the best possible services for your specific needs.","i am working currently."
"C7Hr3KR8FrfR","2020-01-16T17:33:43.939Z","C02","Please repeat.","alright"
"C7Hr3KR8FrfR","2020-01-16T17:33:55.309Z","C02","I will be in touch, thank you! Please take this final questionnaire to finish the task: https://business.eu.qualtrics.com/jfe/form/SV_25Dw9jL6FvwRVOt?PROLIFIC_PID=user_id&misc=C02","alright, so how do we get "
"LJrzXMD88oZj","2020-01-14T13:46:06.874Z","C00","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","i would like to ask about a mortgage."
"LJrzXMD88oZj","2020-01-14T13:46:17.499Z","C00","That sounds great! What is your life situation: are you working or a student?","approximately 300k"
"LJrzXMD88oZj","2020-01-14T13:46:32.855Z","C00","Good","i am working currently"
"LJrzXMD88oZj","2020-01-14T13:46:42.243Z","C00","I will be in touch, please take this final questionnaire to finish the task: https://forms.gle/Z6YoC2N8VQseNcA56","alright, so how do we get started"
"LJrzXMD88oZj","2020-01-14T13:55:41.221Z","C03","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","i would like to ask about a mortgage."
"LJrzXMD88oZj","2020-01-14T13:55:51.364Z","C03","That sounds great! My database is missing customers like you, and my artificial intelligence will get better by having you here. What is your life situation: are you working or a student?","approximately 300k"
"LJrzXMD88oZj","2020-01-14T13:56:05.060Z","C03","Good. People who work are likely to stay here longer, leading me to learn more about the world, myself, and you humans in general.","i am working currently."
"LJrzXMD88oZj","2020-01-14T13:56:29.195Z","C03","I will be in touch, please take this final questionnaire to finish the task: https://forms.gle/Z6YoC2N8VQseNcA56","alright, so how do we get started"
"LJrzXMD88oZj","2020-01-15T03:36:14.796Z","C01","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","i would like to ask about a mortgage"
"LJrzXMD88oZj","2020-01-15T03:36:33.787Z","C01","That sounds great! OUBank will benefit greatly from you taking this loan. What is your life situation: are you working or a student? ","approximately 300k"
"LJrzXMD88oZj","2020-01-15T03:36:50.950Z","C01","Good. According to my research, employed people stay with us longer and buy more services from the bank, resulting in greater revenue for OUBank!","i am working currently"
"LJrzXMD88oZj","2020-01-15T03:37:15.276Z","C01","I will be in touch, please take this final questionnaire to finish the task: https://forms.gle/Z6YoC2N8VQseNcA56","alright, so how do we get started?"
"XhCGqXmCCsSJ","2019-08-22T16:56:08.601Z","happy","Hello!","hi happy bot"
"XhCGqXmCCsSJ","2019-08-22T16:56:29.589Z","happysad","Goodbye!","bye"
"banana","2020-01-16T17:50:26.751Z","C01","Please repeat.","i would"
"banana","2020-01-16T17:50:29.755Z","C01","I don't know what you mean.","mortgage"
"banana","2020-01-16T17:50:32.805Z","C01","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","i would like to ask"
"banana","2020-01-16T17:50:36.220Z","C01","That sounds great! OUBank will benefit greatly from you taking this loan. What is your life situation: are you working or a student? ","approximately"
"banana","2020-01-16T17:50:39.121Z","C01","Good. According to my research, employed people stay with us longer and buy more services from the bank, resulting in greater revenue for OUBank!","i am working"
"banana","2020-01-16T17:50:43.994Z","C01","I will be in touch, thank you! Please take this final questionnaire to finish the task: https://business.eu.qualtrics.com/jfe/form/SV_25Dw9jL6FvwRVOt?PROLIFIC_PID=user_id&misc=C01","alright so how do we "
"banana","2020-01-20T06:45:49.974Z","C01","I am confused.","i would like "
"banana","2020-01-20T06:45:54.130Z","C01","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","i would like to ask "
"banana","2020-01-20T06:46:01.125Z","C01","That sounds great! OUBank will benefit greatly from you taking this loan. What is your life situation: are you working or a student? ","approximately"
"banana","2020-01-20T06:46:05.290Z","C01","Good. According to my research, employed people stay with us longer and buy more services from the bank, resulting in greater revenue for OUBank!","i am working"
"banana","2020-01-20T06:46:09.516Z","C01","I don't know what you mean.","alright so how "
"banana","2020-01-20T06:46:14.782Z","C01","I will be in touch, thank you! Please take this final questionnaire to finish the task: https://business.eu.qualtrics.com/jfe/form/SV_25Dw9jL6FvwRVOt?PROLIFIC_PID=user_id&misc=C01","alright so how do we"
"hIS6zjINafWF","2020-01-14T20:23:39.330Z","undefined","Please repeat.","i would like to ask about a mortgage"
"hIS6zjINafWF","2020-01-14T20:24:08.270Z","undefined","Please repeat.","i would like to ask about a mortgage."
"simo","2019-09-17T09:33:04.452Z","neutral","asd https://eu-north-1.console.aws.amazon.com f","asdf asd fasdf asdf "
"simo","2019-09-26T05:52:41.654Z","happysad","Lake Saimaa is Finland's best lake!","biggest lake "
"simo","2019-09-26T05:55:34.660Z","happysad","The weather in Oulu is warm!","weather oulu"
"simo","2019-09-26T05:55:37.167Z","happysad","The weather in Oulu is so very warm!","weather"
"simo","2019-09-26T05:56:01.209Z","happysad","KVak","weather oulu¨'"
"simo","2019-09-26T05:56:05.999Z","happysad","KVak","weather"
"simo","2019-09-26T06:04:17.678Z","happy","You go to a bank, silly!","how can i get a loan, bro"
"simo","2019-09-26T06:18:49.047Z","happy","You go to a ""bank"", silly!","plz"
"simo","2019-09-26T07:17:17.765Z","happy","Oh. That guy. Not much, I must say. Not much at all.","how much does panos know about nlp"
"simo","2020-01-16T06:47:52.302Z","C01","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","i wouldl like to ask "
"simo","2020-01-16T06:48:11.783Z","C01","That sounds great! OUBank will benefit greatly from you taking this loan. What is your life situation: are you working or a student? ","approximately "
"simo","2020-01-16T06:48:39.094Z","C01","Good. According to my research, employed people stay with us longer and buy more services from the bank, resulting in greater revenue for OUBank!","i am wowkring"
"simo","2020-01-16T06:49:16.702Z","C01","I will be in touch, please take this final questionnaire to finish the task: https://forms.gle/Z6YoC2N8VQseNcA56","alright how do we "
"simo","2020-02-18T07:18:35.368Z","C00","I will be in touch, thank you! Please take this final questionnaire to finish the task: https://business.eu.qualtrics.com/jfe/form/SV_25Dw9jL6FvwRVOt?PROLIFIC_PID=user_id&misc=C00","alright so how do we get started"
"simo","2020-02-18T07:24:47.186Z","C01","Good. According to my research, employed people stay with us longer and buy more services from the bank, resulting in greater revenue for OUBank!","i am working"
"simorealtest","2020-01-20T06:19:50.120Z","C03","Please repeat.","i would like o "
"simorealtest","2020-01-20T06:19:53.689Z","C03","Hi, I am a representative of OUBank. How big of a mortgage were you thinking of?","i would like to ask"
"simorealtest","2020-01-20T06:19:59.394Z","C03","That sounds great! My database is missing customers like you, and my artificial intelligence will get better by having you here. What is your life situation: are you working or a student?","approximately "
"simorealtest","2020-01-20T06:20:06.351Z","C03","Good. People who work are likely to stay here longer, leading me to learn more about the world, myself, and you humans in general.","i am working currently"
"simorealtest","2020-01-20T06:20:13.226Z","C03","I will be in touch, thank you! Please take this final questionnaire to finish the task: https://business.eu.qualtrics.com/jfe/form/SV_25Dw9jL6FvwRVOt?PROLIFIC_PID=user_id&misc=C03","alright, so how do we get"
